ID,Americas,EU,APAC,"missing
completely",Dupes,Database,,Schema,Type,Name,"comments
in column
AF?","# queries
","# users
","storage
in GB","mapped
AURORA
source product","mapped
AURORA
data product",comments,Data Model Availability,UAT Start Date,Go-live Date,,PRE-FILTER
ENRICH;BV_VEEVA_CRM_COUNTRY_VOD__C_MEC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_COUNTRY_VOD__C_MEC1,no,841251,22,0,Vault CRM,"Reference Data 1.0 (Geo hier., Translations, Calendar, Needed for Vault migration)",,Available,8/25/25,9/15/25,,Veeva
ENRICH;BV_VEEVA_CRM_COUNTRY_VOD__C_AC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_COUNTRY_VOD__C_AC1,no,638652,16,0,Vault CRM,"Reference Data 1.0 (Geo hier., Translations, Calendar, Needed for Vault migration)",,Available,8/25/25,9/15/25,,Veeva
ENRICH;BV_VEEVA_CRM_COUNTRY_VOD__C_EC2,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_COUNTRY_VOD__C_EC2,no,536383,22,0,Vault CRM,"Reference Data 1.0 (Geo hier., Translations, Calendar, Needed for Vault migration)",,Available,8/25/25,9/15/25,,Veeva
ENRICH;BV_VEEVA_CRM_COUNTRY_VOD__C_PC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_COUNTRY_VOD__C_PC1,no,272480,14,0,Vault CRM,"Reference Data 1.0 (Geo hier., Translations, Calendar, Needed for Vault migration)",,Available,8/25/25,9/15/25,,Veeva
ENRICH;BV_VEEVA_CRM_USER_MEC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_USER_MEC1,no,176180,23,0.371,Vault CRM,Employee 1.0 (Vault CRM),,Available,9/1/25,9/15/25,,Veeva
ENRICH;BV_VEEVA_CRM_COUNTRY_VOD__C_EC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_COUNTRY_VOD__C_EC1,no,159310,21,0,Vault CRM,"Reference Data 1.0 (Geo hier., Translations, Calendar, Needed for Vault migration)",,Available,8/25/25,9/15/25,,Veeva
ENRICH;BV_VEEVA_CRM_USER_AC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_USER_AC1,no,150763,21,0.331,Vault CRM,Employee 1.0 (Vault CRM),,Available,9/1/25,9/15/25,,Veeva
ENRICH;BV_VEEVA_CRM_GROUP_MEC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_GROUP_MEC1,no,148842,8,0.008,Vault CRM,,,,,,,Veeva
ENRICH;BV_VEEVA_CRM_BPH_RESTRICTED_WORD_NOTIFICATION__C_PC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_BPH_RESTRICTED_WORD_NOTIFICATION__C_PC1,no,123573,5,0.026,Vault CRM,,,,,,,Veeva
ENRICH;BV_VEEVA_CRM_GROUP_AC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_GROUP_AC1,no,120623,8,0.01,Vault CRM,,,,,,,Veeva
