Country,Vendor,Source,Data Domain,Subject Area,Product Name,Enrich Layer,Modelled layer,Analytics Layer,Updated/Released on:,GitHub repository(-ies),enrich layer sttm,model sttm,analytics sttm,Confluence Link(s) for other Docs.,Owner/Key SME,Decomissionning Status,Retention needs
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,AC_CATG,S_IQVIA_HDSC_AC_CATG,REF_AC_CATG,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Customer,AC_TYP,S_IQVIA_HDSC_AC_TYP,REF_AC_TYP,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,ATC,S_IQVIA_HDSC_ATC,DIM_ATC,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Territory & Alignment,BNDRY,S_IQVIA_HDSC_BNDRY,DIM_BNDRY,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS,S_IQVIA_HDSC_DS,DIM_DS,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_ASSC,S_IQVIA_HDSC_DS_ASSC,DIM_DS_ASSC,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_CLAS_ASSC,S_IQVIA_HDSC_DS_CLAS_ASSC,MAP_DS_CLAS_ASSC,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_PUBL_LOG,S_IQVIA_HDSC_DS_PUBL_LOG,MAP_DS_PUBL_LOG,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,NFC_CLAS,S_IQVIA_HDSC_NFC_CLAS,DIM_NFC_CLAS,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Customer,ORG,S_IQVIA_HDSC_ORG,DIM_ORG,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Customer,ORG_STRC,S_IQVIA_HDSC_ORG_STRC,MAP_ORG_STRC,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PCMDTY,S_IQVIA_HDSC_PCMDTY,DIM_PCMDTY,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PROD,S_IQVIA_HDSC_PROD,DIM_PROD,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,TM_PD,S_IQVIA_HDSC_TM_PD,DIM_TM_PD,, , , ,,,,,
BE,IQVIA,IQVIA,Market Analytics,Sales Analytics,Sell-In,TM_PD_ATC_SUM,S_IQVIA_HDSC_TM_PD_ATC_SUM,FACT_TM_PD_ATC_SUM,, , , ,,,,,
BE,IQVIA,IQVIA,Market Analytics,Sales Analytics,Sell-In,TM_PD_BNDRY_AC_CATGAK2_AC_TYPAK2_PCMDTY_SUM,S_IQVIA_HDSC_TM_PD_BNDRY_AC_CATGAK2_AC_TYPAK2_PCMDTY_SUM,FACT_TM_PD_BNDRY_AC_CATGAK2_AC_TYPAK2_PCMDTY_SUM,, , , ,,,,,
BE,IQVIA,IQVIA,Market Analytics,Sales Analytics,Sell-In,TM_PD_ORGAK6_SUM,S_IQVIA_HDSC_TM_PD_ORGAK6_SUM,FACT_TM_PD_ORGAK6_SUM,, , , ,,,,,
