TABLE_NAME,LAST_ALTERED,ROW_COUNT
2_SALES_OBJECTIVE__OBJETIVOS,2025-04-02 04:57:18.483 -0700,0
ADDRESS_SC,2025-04-02 03:49:06.293 -0700,0
AE_NL_IT__APPROVED_EMAIL_NL,2025-04-02 02:14:04.319 -0700,0
ALIGN_FSA_TO_POD,2025-04-02 02:56:57.981 -0700,0
ALL_SPECIALITY_MAPPING_CALCULATED_SPECIALITIES_PER_TEAM__ULTIMATE_MAPPING,2025-04-02 04:58:20.757 -0700,0
ALL_ZIP_TO_TERR_US_SUGGESTION,2025-09-30 02:44:23.886 -0700,1530540
BAYER_MCM_BENCHMARK_REPORT__F2F,2025-04-02 05:19:25.228 -0700,0
BAYER_MCM_BENCHMARK_REPORT__PHONE,2025-04-02 05:19:25.198 -0700,0
BHC_0267_PH_AJUSTES_CUESTIONARIOS__PREGUNTAS_EXCLUIDAS,2025-04-02 05:13:15.727 -0700,0
BHC_0267_PH_CODIFICACIONES_OI_EXCLUIDAS__EXCLUSIONES,2025-04-02 03:49:03.445 -0700,0
BHC_0267_PH_CONSIDERACIONES_PFI__CONTACTOS_PFI,2025-04-02 05:19:25.737 -0700,0
BHC_0267_PH_CUENTAS_CLAVE_AREA_SANITARIA__AREAS,2025-04-02 05:19:25.711 -0700,0
BHC_0267_PH_CUENTAS_CLAVE_AREA_SANITARIA__CUENTAS,2025-04-02 05:16:28.420 -0700,0
BHC_0267_PH_DEFINICION_KPIS_GLOSARIO__GLOSARIO,2025-04-02 04:20:18.750 -0700,0
BHC_0267_PH_ESPECIALIDAD_POTENCIAL__HOJA1,2025-04-02 04:19:16.399 -0700,0
BHC_0267_PH_ESTRUCTURA_TERRITORIAL_SHARE__ADJ_SHARE_SB_FAMILIA,2025-04-02 01:56:50.486 -0700,0
BHC_0267_PH_ESTRUCTURA_TERRITORIAL_SHARE__PROVINCIA,2025-04-02 03:47:14.822 -0700,0
BHC_0267_PH_PONDERACION_SEGMENTACION_DIGITAL__1RA_PREGUNTA,2025-04-02 01:49:01.390 -0700,0
BHC_0267_PH_PONDERACION_SEGMENTACION_DIGITAL__CANALES,2025-04-02 01:54:55.191 -0700,0
BHC_0267_PH_VALIDACION_CONTACTO_TERRITORIO,2025-04-03 02:13:28.104 -0700,0
BR_CYCLE_PLAN,2025-11-11 20:59:04.318 -0800,12631613
DIM_CAMPAIGN_SUPPRESSION_REPORT,2025-04-02 02:46:02.034 -0700,0
DIM_HCO,2025-03-29 23:54:52.419 -0700,0
DIM_PERSONAL_CHANNEL,2025-11-11 22:17:44.217 -0800,48416
FACT_MTHLY_BNDRYAK2_MKT_GRPAK5_PCMDTY_SPCL_SUM,2025-04-02 03:24:06.156 -0700,0
ALL_ZIP_TO_TERR__US_SUGGESTION,2025-04-02 02:30:55.335 -0700,0
BHC_0267_PH_COACHING_DAYS_JRV__PLAN,2025-04-02 05:13:17.487 -0700,0
BHC_0267_PH_CONSIDERACIONES_PFI__PRODUCTOS_MUSTWIN,2025-04-02 05:18:20.420 -0700,0
BHC_0267_PH_CONSIDERACIONES_PFI__TARGET_PFI,2025-04-02 05:18:19.848 -0700,0
BAYER_MCM_BENCHMARK_REPORT__EMAIL,2025-04-02 03:24:04.949 -0700,0
BHC_0267_PH_AGRUPACION_ESPECIALIDADES__1ERPASO,2025-04-02 04:57:11.964 -0700,0
BHC_0267_PH_AJUSTES_CUESTIONARIOS__BLOQUES,2025-04-02 05:13:17.444 -0700,0
BHC_0267_PH_PONDERACION_SEGMENTACION_DIGITAL__2DA_PREGUNTA,2025-04-02 01:50:43.483 -0700,0
BRAND_TO_PRODUCT_GROUP_MAPPING,2025-04-02 02:50:07.837 -0700,178
BRIEF_DOC_JOURNEY,2025-04-02 04:57:12.457 -0700,24419
CRPC_MARKET_DEFINITION,2025-04-02 03:49:05.345 -0700,0
DIM_ATTACHMENT,2025-11-11 00:14:07.572 -0800,150776
DIM_HC_PLN,2025-04-02 05:10:20.862 -0700,0
DIM_PO,2025-04-02 01:54:52.833 -0700,0
BHC_0267_PH_CHECKACTIVITY,2025-04-02 05:13:17.262 -0700,0
BERGAPOTHEKE_BERGAPOTHEKE_MAPPING,2025-04-02 04:13:09.758 -0700,0
BHC_0267_PH_ESTRUCTURA_TERRITORIAL_SHARE__SANIBRICK,2025-04-02 01:51:55.205 -0700,0
DATABASECHANGELOG,2025-11-03 07:05:00.788 -0800,24496
BHC_0267_PH_CUENTASAP_EXCLUIDAS__HOJA1,2025-03-30 00:55:57.056 -0700,0
BHC_0267_PH_DEFINICION_KPIS_GLOSARIO__DEFINICIONES,2025-04-02 04:57:16.538 -0700,0
BHC_0267_PH_GEOGRAFIA_MAPA__PROVINCIA,2025-04-02 04:18:15.520 -0700,0
BHC_0267_PH_PONDERACION_SEGMENTACION_DIGITAL__ACTIVIDAD,2025-04-02 01:49:01.486 -0700,0
BHC_0267_PH_PONDERACION_SEGMENTACION_DIGITAL__SEGMENTACION_CLIENTE,2025-04-02 01:54:53.220 -0700,0
