TABLE_NAME,LAST_ALTERED,ROW_COUNT
BLINKRX_DAILY,2025-11-11 04:36:24.280 -0800,677384
BLINKRX_DISPENSE,2025-11-09 08:37:08.542 -0800,245306
BLINKRX_STATUS,2025-11-11 05:30:08.710 -0800,2590869
BV_ADHOC_BYOM,2025-04-02 06:46:18.459 -0700,0
BV_ADHOC_DISMISSALMAPPING_DISMISSAL_MAPPING_PARENT_CHILD,2025-04-02 08:47:34.911 -0700,0
BV_ADHOC_GBR_CONTENT_LOCALIZATION,2025-04-02 05:24:27.839 -0700,0
BV_ADHOC_GBR_CONTENT_USED_IN_ACTIVATION_CALLS,2025-04-02 09:14:35.850 -0700,0
BV_ADHOC_GBR_CONTENT_USED_IN_ACTIVATION_EMAILS,2025-04-02 08:47:32.850 -0700,0
BV_ADHOC_GBR_EMAIL_TEMPLATE_REPORT,2025-04-02 09:15:39.900 -0700,0
BV_ADHOC_GBR_OVERVIEW_GLOBAL_CONTENT_DEVELOPED,2025-04-02 08:47:31.410 -0700,0
BV_ADHOC_ICQ_MAP_ICQ_SURVEY_QUESTION,2025-04-02 04:10:21.287 -0700,82
BV_ADHOC_MLB_FTE_ALLBRANDS_AND_HISTORIC_DASHBOARD,2025-03-30 16:34:20.842 -0700,8051
BV_ADHOC_MPG_MARKET_PROGNOSIS_GLOBAL,2025-06-24 04:36:02.369 -0700,6400
BV_ADHOC_ONETRUST_CPH_CONSENT_CDP_EXPIRY_DATE,2025-04-02 08:25:35.390 -0700,101
BV_ADHOC_PMR_DIM_QUESTION,2025-04-02 02:35:50.420 -0700,6136
BV_ADHOC_PMR_MAP_ANSWER_VALUE,2025-04-02 02:28:04.827 -0700,29147
BV_ADHOC_REFERENCEFILES_BRAND_INFO_TABLE_EXTRACT_32_ZERO_ISSUE,2025-04-02 02:07:55.835 -0700,79
BV_ADHOC_REFERENCEFILES_BRAND_TO_PRODUCT_GROUP_MAPPING,2025-03-30 21:59:55.122 -0700,1188
BV_ADHOC_REFERENCEFILES_COUNTRY_BRAND_MAPPING,2025-04-29 00:57:00.309 -0700,172664
BV_ADHOC_REFERENCEFILES_CPH_EXPOSED_BR_MAPPING,2025-04-02 01:54:52.064 -0700,782
BV_ADHOC_SALUTATIONDATA_SALUTATION_COCKPIT,2025-10-16 06:12:52.605 -0700,721
BV_ADHOC_TRADEMARK_TM_CLUSTER,2025-04-02 06:22:25.445 -0700,197
BV_ADHOC_TRADEMARK_TRADEMARK_EXPORT_EFILIA,2025-05-07 22:06:42.337 -0700,234014
BV_ADHOC_US_FACT_LANDING_PH_MKTG_MEDIA_EMAIL_ADHOC,2025-04-02 09:15:39.866 -0700,0
BV_BRIEF_DOC_CEC,2025-09-23 17:00:11.181 -0700,5584
BV_COLLIBRA_DQ_OWL_CHECK_HISTORY,2025-09-24 08:04:36.646 -0700,410665
BV_CRYSTAL_IQVIA_V_IDP_VEEVACRM_CONSENT_OUTBOUND,2025-11-11 13:31:03.376 -0800,592057402
BV_CVENT_BUDGETITEM_DELETED,2025-11-10 11:38:35.405 -0800,24410
BV_CVENT_EVENTDETAIL_FAQDETAIL,2025-08-30 12:44:28.886 -0700,6200
BV_CVENT_EVENTDETAIL_FEES,2025-10-22 19:38:15.911 -0700,3370
BV_CVENT_INVITEE,2025-11-11 11:50:35.641 -0800,117805
BV_CVENT_MEETINGREQUEST_EVENTSURVEYDETAIL,2025-11-11 11:49:16.967 -0800,25870381
BV_CVENT_MEETINGREQUEST_RFPREQUESTINFO,2025-11-11 11:50:00.222 -0800,439291
BV_ADHOC_GBR_MARKET_CLUSTER_MAPPING,2025-04-02 08:47:31.315 -0700,0
BV_ADHOC_PMR_DIM_PROJECT,2025-04-02 06:29:32.841 -0700,10
BV_ADHOC_PMR_DIM_SURVEY,2025-04-02 02:35:50.710 -0700,38
BV_ADHOC_TRADEMARK_TRADEMARK_EXPORT_BRAVE,2025-05-07 21:55:06.213 -0700,261090
BV_ADHOC_VEVPRDCTMAP_PRODUCT_MAP_XREF,2025-04-02 03:30:03.871 -0700,192014
BV_CDIS_EXTERNAL_KEYS,2025-11-11 13:29:31.595 -0800,128523484
BV_CDPSTTM_CHANGE_LOG,2025-08-30 19:05:07.195 -0700,507363
BV_CDPSTTM_DATA_MODEL_SUMMARY,2025-07-31 19:09:28.098 -0700,3831
BV_COLLIBRA_DQ_AGENT,2025-09-22 19:17:54.220 -0700,6249
BV_COLLIBRA_DQ_JOB_SCHEDULE_ATTEMPT,2025-09-24 08:04:37.608 -0700,554403
BV_COLLIBRA_DQ_OWLCHECK_Q,2025-09-24 08:05:00.484 -0700,512716
BV_CVENT_BUDGETITEM_ASSOCIATEDREGISTRANTS,2025-11-11 11:44:43.529 -0800,30299
BV_CVENT_BUDGETITEM_SAVINGSDETAIL,2025-11-11 11:43:51.165 -0800,56954
"BV_CVENT_MEETINGREQUEST_EVENTREQUESTINFO
_SFENRICH",2025-04-02 09:15:45.373 -0700,0
BV_CONCUR_INBOUND,2025-11-11 14:13:26.888 -0800,3197599
BV_CRYSTAL_VW_IMCM_SPENDCAP,2025-11-11 13:11:36.172 -0800,179786
BV_CVENT_REGISTRATION_ORDERDETAIL,2025-11-11 11:49:39.561 -0800,333824
BV_CVENT_REGISTRATION_PAYMENTDETAIL,2025-02-27 11:51:08.194 -0800,6649
BV_CVENT_TRAVEL_AIRREQUEST,2025-11-11 11:39:29.240 -0800,8141
BV_CVENT_TRAVEL_HOTELREQUEST,2025-11-11 11:40:39.949 -0800,23262
BV_DATAONE_SERVICE_H2R_CV_AMSM_USER_ASGMT_TERR,2025-11-11 07:59:12.432 -0800,276
BV_DMAC_VPICKLIST_CODE_GLOBAL,2025-11-11 08:31:21.569 -0800,1957512
BV_GMDA_POPULATION,2025-09-16 10:30:18.462 -0700,110355
BV_GOOGLE_ANALYTICS_GA,2025-04-02 05:34:28.265 -0700,2656740
