TABLE_NAME,LAST_ALTERED,ROW_COUNT
DATABASECHANGELOG,2025-11-03 07:02:15.075 -0800,9158
FACT_US_LIVERAMP_TTD_VIDEO_EVENTS,2025-04-02 05:12:25.424 -0700,0
FACT_WEB_CHANNEL_ACTIVITY,2025-04-02 02:37:06.337 -0700,0
FIA_PW_ATTENDEE,2025-04-02 04:46:04.425 -0700,58625
FIA_PW_TRAINING,2025-04-02 01:51:47.711 -0700,49159
FIA_STD_LIVERAMP_SFMC_NPLD,2025-04-02 03:49:04.949 -0700,0
FIA_STD_PH_MKTG_MEDIA_bckup_2706,2025-04-02 04:19:15.945 -0700,204170730
MAP_CONT_TACT_CAMP_MAPPING_FILE,2025-04-03 02:15:59.102 -0700,0
REF_COPA_SALES_MONTHLY,2025-04-02 04:59:10.515 -0700,0
S_ALN_FIELD_FORCE,2025-08-14 21:25:23.315 -0700,1100
S_ALN_FIELD_FORCE_HIST,2025-04-02 07:03:34.431 -0700,600
S_ALN_FOOTPRINT,2025-04-02 09:21:32.874 -0700,23704
S_ALN_FOOTPRINT_GEOGRAPHY,2025-04-02 07:45:33.801 -0700,193944
S_ALN_GEOGRAPHY_TERRITORY,2025-08-07 21:28:15.600 -0700,14955711
S_ALN_MC_CYCLE_CHANNEL,2025-09-04 21:04:19.875 -0700,5502
S_ALN_PRODUCT,2025-09-04 21:02:52.722 -0700,30026
S_ALN_RECORD_TYPE,2025-04-02 04:40:21.431 -0700,18
S_CDIS_ACC_CON,2025-11-11 13:30:57.903 -0800,36149187
S_CVENT_CONTACT,2025-11-11 11:51:41.784 -0800,132980
S_EXTA_IMCM_PH_CLICKS,2025-11-11 13:51:24.068 -0800,1005177
S_FARMINFORM_SUBNATL_SALES,2025-04-02 03:42:02.471 -0700,0
FIA_STD_PH_MKTG_PLD_WEB,2025-04-02 02:32:50.296 -0700,0
S_ADHOC_SALUTATION_COCKPIT,2025-10-16 06:14:24.614 -0700,4
S_ALN_MC_CYCLE,2025-09-08 21:04:15.855 -0700,28211
S_ALN_MC_CYCLE_PLAN,2025-09-08 21:03:37.861 -0700,499407
S_ALN_MC_CYCLE_PLAN_CHANNEL,2025-09-08 21:03:21.428 -0700,35946462
S_ALN_ROSTER_MEMBER_HIST,2025-09-08 21:03:31.859 -0700,24813
S_ALN_ROSTER_MEMBER_TERRITORY_MODEL,2025-09-03 21:02:10.345 -0700,35979
S_BPN_TVM_DMP_MAIL_MAGAZINE_SEND_TO,2025-04-03 02:16:04.848 -0700,0
S_CDIS_ADDRESS,2025-11-11 13:30:51.270 -0800,20274659
S_CDIS_CONTACT_DETAILS,2025-11-11 13:30:27.484 -0800,3513898
S_CVENT_BUDGETITEM_COST,2025-11-07 11:51:41.172 -0800,58929
S_CVENT_BUDGETITEM_TAX_NUMBER,2025-11-07 11:52:35.542 -0800,58929
S_EURYDICE_LCL_CNTRCT_CLIENT_GRP,2025-04-02 02:30:57.963 -0700,0
S_EURYDICE_LCL_CNTRCT_CLIENT_SCTR,2025-04-03 02:16:45.106 -0700,0
S_EXTA_IMCM_PH_SENT,2025-11-11 13:52:54.377 -0800,33285263
S_FARMINFORM_BAYER_ARTICLE,2025-04-03 02:13:00.121 -0700,0
S_FARMINFORM_BNDRY_ASSC,2025-04-02 04:58:22.286 -0700,0
FIA_STD_PH_MKTG_MEDIA_bckp_2406,2025-04-02 02:37:01.468 -0700,198322005
S_CVENT_BUDGETITEM_TAX_PERCENTAGE,2025-11-07 11:52:18.485 -0800,58929
S_EXTA_IMCM_PH_JOURNEY_ACTIVITY_MASTER,2025-11-11 11:13:51.559 -0800,524084
S_ALN_ROSTER_MEMBER,2025-09-08 21:03:42.520 -0700,20769
S_CLM_PRESENTATION_JPC,2025-04-02 05:10:19.527 -0700,0
S_CVENT_EVENT_DETAIL,2025-11-11 11:51:23.627 -0800,14566
S_EURYDICE_LCL_CNTRCT_BAREME,2025-04-02 03:43:11.996 -0700,0
S_EURYDICE_LCL_CNTRCT_FAMILLE,2025-04-02 01:50:43.490 -0700,0
S_EURYDICE_LCL_CNTRCT_MARCHE,2025-04-02 02:37:07.437 -0700,0
S_EURYDICE_LCL_CNTRCT_OFR,2025-04-03 02:16:45.109 -0700,0
S_EXTA_EWIZARD_KEYMSGTRACKING,2025-09-10 12:14:38.318 -0700,1805
S_EXTA_IMCM_PH_UNSUBS,2025-11-11 11:13:49.639 -0800,58255
S_BERGAPOTHEKE_BERGAPOTHEKE_SALES,2025-04-02 04:23:16.729 -0700,0
S_CDIS_EXTERNAL_KEY,2025-11-11 13:31:22.700 -0800,53218389
S_FARMINFORM_NATL_SALES,2025-04-03 02:13:54.895 -0700,0
S_GA_SESSIONS_HITS_CUSTOM_DIMENSIONS,2025-04-02 04:57:16.538 -0700,0
S_GERS_GER_NBRX_TYPEPERIODE_TOT_FRREG,2025-04-02 02:13:57.434 -0700,0
S_GERS_GER_ORIGIN_ACORAMIDIS,2025-11-03 07:02:11.672 -0800,0
S_GERS_GER_ORIGIN_ETS_ONCO,2025-03-30 16:52:24.134 -0700,0
S_GERS_GER_ORIGIN_EYLEA,2025-04-03 02:14:56.108 -0700,0
S_GERS_GER_ORIGIN_ONCO,2025-04-02 02:32:53.867 -0700,0
S_GERS_GER_SAL_NAT_DOMTOM_QUANTI_INDICATEUR_BIOSIMILAIRE_BIOREFERENT,2025-06-16 11:33:19.308 -0700,0
S_GERS_GER_SAL_NAT_DOMTOM_QUANTI_IND_GENERIC_BRAND_DCI,2025-03-30 04:59:25.328 -0700,0
S_GERS_GER_SAL_NAT_DOMTOM_QUANTI_IND_GENERIC_REFERENT,2025-04-02 03:23:52.456 -0700,0
S_GERS_GER_SAL_NAT_DOMTOM_QUANTI_REFUND_STAT,2025-04-02 02:32:55.254 -0700,0
S_GERS_GER_SAL_NAT_HOSPITAL_QUANTI_ADMN_RTE,2025-04-03 02:15:04.531 -0700,0
S_GERS_GER_SAL_NAT_HOSPITAL_QUANTI_GRP_LBTY,2025-03-30 17:54:30.167 -0700,0
S_GERS_GER_SAL_NAT_MIXT_QUANTI_CLAS_ATC,2025-04-03 02:15:58.208 -0700,0
S_GERS_GER_SAL_NAT_MIXT_QUANTI_INDICATEUR_BIOSIMILAIRE_BIOREFERENT,2025-06-16 11:33:39.487 -0700,0
S_GERS_GER_SAL_NAT_MIXT_QUANTI_PHMCL_FORM,2025-04-02 03:23:54.970 -0700,0
S_GERS_GER_SAL_NAT_OFFICINE_QUANTI_COMPOSN_DCI,2025-04-02 04:44:14.926 -0700,0
S_GERS_GER_SAL_NAT_OFFICINE_QUANTI_INDICATEUR_BIOSIMILAIRE_BIOREFERENT,2025-06-16 11:33:32.125 -0700,0
S_GERS_GER_SAL_NAT_OFFICINE_QUANTI_LBTY,2025-04-03 02:15:03.686 -0700,0
S_GERS_GER_SAL_SIG_UGA_OFF_MKT_COMPOSN,2025-04-03 02:15:02.266 -0700,0
S_GERS_GER_STATHOP_GENL,2025-04-02 04:20:15.446 -0700,0
