TABLE_NAME,LAST_ALTERED,ROW_COUNT
ADDRESS_SC,2024-12-25 14:01:27.144 -0800,0
BHC_0267_PH_CUENTAS_CLAVE_AREA_SANITARIA__CUENTAS,2024-12-26 19:40:47.798 -0800,0
BHC_0267_PH_RDO_SEG_AREA_SANITARIA__SHEET1,2024-12-26 19:40:47.790 -0800,0
BRAND_MAPPING_IN_MARKET__SHEET1,2024-12-19 14:07:38.236 -0800,0
COUNTRY_TIMEZONE_MAPPING,2025-06-05 23:56:55.562 -0700,235
DIM_DATE,2024-12-27 12:10:47.746 -0800,56847
FACT_ACCOUNT_CONSENT_MONTHLY_UAT,2025-11-11 09:26:16.916 -0800,12283210
ALL_ZIP_TO_TERR_US_SUGGESTION,2024-12-27 16:47:46.986 -0800,0
BAYER_SPECIFIC_MEASURES,2024-12-27 01:53:57.790 -0800,0
BHC_0267_PH_COACHING_DAYS_JRV__LINEA_CD,2024-12-26 19:40:47.789 -0800,0
BHC_0267_PH_VALIDACION_CONTACTO_TERRITORIO,2024-12-26 19:40:47.798 -0800,0
BRAND_INFO_TABLE_EXTRACT_32_ZERO_ISSUE,2024-12-21 21:19:27.841 -0800,79
BRIEF_DOC_CONTENT,2024-12-17 03:23:00.675 -0800,75
BV_PART_TIME_EMPLOYEES_PMA__SHEET1,2024-12-29 01:28:57.877 -0800,0
DIM_ATC,2025-04-29 05:27:19.774 -0700,7438
DIM_CONTENT_LOCALIZATION,2024-12-28 13:40:56.996 -0800,347
DIM_CONTENT_USED_IN_ACTIVATION_EMAIL,2024-12-28 13:40:56.999 -0800,1310
DIM_DS,2025-04-29 05:26:49.792 -0700,37
DIM_DYNAMIC_ATTRIBUTE_CONFIGURATION,2025-11-11 09:26:21.405 -0800,80
DIM_LCL_CNTRCT_BAREME,2024-12-18 18:05:17.783 -0800,0
DIM_PCMDTY,2025-07-15 19:49:30.775 -0700,127059
DIM_VAULT_CORE_MESSAGES,2025-11-11 06:55:29.964 -0800,10666
