TABLE_NAME,LAST_ALTERED,ROW_COUNT
BV_ANALYTICS_JP_NOZOMI_TTR0094NZM_MEETING_ATD,2025-11-11 08:48:30.247 -0800,24270091
BV_ANALYTICS_JP_MSS_TCM_INST_ROLE,2025-11-11 13:33:55.722 -0800,8700404264
BV_ANALYTICS_JP_MSS_TCM_SALES_ORG,2025-11-11 08:16:14.425 -0800,1368481
BV_BRIEF_DOC_CONTENT,2024-12-31 09:29:06.926 -0800,83
BV_BRIEF_DOC_TC,2025-11-11 16:00:08.079 -0800,3129
BV_CRYSTAL_VW_IMCM_SPENDCAP,2025-11-11 13:08:44.488 -0800,9190
BV_CVENT_BUDGET_DEFAULTTAXDETAIL,2025-11-11 11:37:10.471 -0800,11242
BV_CVENT_EVENTQUESTION_ANSWERDETAIL,2025-11-11 11:48:40.781 -0800,47457
BV_MONTBLANC_MILESTONE__V,2025-08-30 17:17:22.626 -0700,968072
BV_SFMC_IMCM_PH_CLICK,2025-11-11 10:48:29.197 -0800,367
BV_CVENT_BUDGETITEM_SAVINGSDETAIL,2025-11-11 11:43:41.838 -0800,53908
BV_CVENT_EVENT_TARGETLISTDETAIL,2025-11-11 11:37:11.945 -0800,26603
BV_DATAONE_SERVICE_H2R_CV_AMSM_AMSMPSORA_014,2025-11-11 07:14:57.249 -0800,27066033
BV_GUMS_USERS6,2025-11-11 12:15:29.512 -0800,1441877
BV_LOCALDATA_NOZOMI_TMR0094CRY_PAYMENT_NOZOMI_ANALYTICS_JP,2024-12-21 06:34:17.740 -0800,816
BV_MONTBLANC_PERSON__SYS,2025-08-31 17:13:39.249 -0700,520335
BV_REFERENCE_ANALYTICAL_JP_IB_DATA_JP_RAD,2024-12-26 07:09:26.935 -0800,5455
BV_REFERENCE_ANALYTICAL_JP_REF_SCANNER_COUNT_JP__SCANNERCOUNT,2024-12-28 00:30:46.921 -0800,12546
BV_REFERENCE_ANALYTICAL_SG_REF_SECDY_SALE_RAD_SG,2025-11-05 22:56:57.013 -0800,12194
BV_REFERENCE_AU_MAP_PROD_LN_LIFE_CYCL_MOD_RAD_AU__AU,2024-12-19 15:08:37.781 -0800,0
BV_REFERENCE_JP_IMPACT_TRACK_JP__IMPACT_TRACK_JP,2024-12-29 09:01:57.740 -0800,5928
BV_REFERENCE_JP_JDNHINET_MDN_FCLTY_B_ORG,2025-09-17 13:23:06.577 -0700,199507112
BV_REFERENCE_JP_ONHTTS_MTMS_TTS_DOCTOR_REF,2024-12-19 14:47:37.737 -0800,0
BV_REFERENCE_JP_ULTMARC_TDT_KGF_GEN_HP,2025-11-11 09:22:27.555 -0800,5318667
BV_REFERENCE_JP_ULTMARC_TDT_KGF_NRS_HP,2025-11-11 09:18:07.202 -0800,6114507
BV_REFERENCE_JP_ULTMARC_TDT_MED_FCL,2025-11-11 09:14:39.455 -0800,10904231
BV_REFERENCE_SG_SG_MAPPING_FILE__SG,2025-11-06 00:56:28.001 -0800,2285
BV_REFERENCE_TH_MAP_CUST_PAR_RAD_TH__MAP_CUST_PAR_TH,2024-12-19 15:08:37.802 -0800,0
BV_TWILIO_DELIVERY_RECEIPTS_PC3,2024-12-17 11:10:00.597 -0800,0
BV_VEEVA_ALIGN_TERRITORY_HISTORY__ALN_PC2,2025-10-30 02:52:31.882 -0700,2808282
