TABLE_NAME,LAST_ALTERED,ROW_COUNT
FIA_PW_ATTENDEE,2024-12-20 22:23:56.986 -0800,0
FIA_PW_EVENT,2024-12-20 22:23:56.986 -0800,0
S_AKT_SUGGESTION_DATA_TABLE,2024-12-26 15:05:27.140 -0800,0
S_GERS_GER_SAL_NAT_DOMTOM_QUANTI_CLAS_EPHMRA,2024-12-21 03:57:17.834 -0800,0
S_ALN_MC_CYCLE_PLAN_PRODUCT,2025-10-24 08:15:23.507 -0700,264351290
S_CVENT_BUDGETITEM_TAX_PERCENTAGE,2025-11-01 12:46:36.353 -0700,59311
S_EXTA_IMCM_PH_CONTACTS,2025-11-11 13:50:55.418 -0800,10970886
S_GA_SESSIONS_CUSTOM_METRICS,2024-12-22 01:34:36.952 -0800,0
S_GERS_GER_SAL_NAT_DOMTOM_QUANTI_ADMN_RTE,2024-12-21 03:57:17.840 -0800,0
S_GERS_GER_SAL_NAT_DOMTOM_QUANTI_GRP_DCI,2024-12-21 03:57:17.834 -0800,0
S_GERS_GER_SAL_NAT_HOSPITAL_QUANTI_QUANTI,2024-12-21 03:56:17.851 -0800,0
S_GERS_GER_SAL_NAT_MIXT_QUANTI_QUANTI,2024-12-21 03:56:17.841 -0800,0
S_IQVIA_HDSC_CLIENT_AC_SALE_ALLOC_CHG,2025-06-02 07:43:17.992 -0700,34051
S_IQVIA_HDSC_MTHLY_ACAK7_PROD_PCMDTY_GRP_BNDRY_MVST_SUM,2024-12-25 17:04:27.741 -0800,0
S_IQVIA_HDSC_MTHLY_PGRP_PCMDTY_DLVRBL_DETL,2024-12-25 13:58:27.875 -0800,0
S_GERS_GER_ORIGIN_RAD,2024-12-20 18:49:56.921 -0800,0
S_GERS_GER_SAL_NAT_HOSPITAL_QUANTI_LBTY,2024-12-21 03:55:17.084 -0800,0
S_INTERNAL_GB_PROD,2024-12-26 01:51:26.999 -0800,0
S_IQVIA_HDSC_DS_PUBL_LOG,2025-06-02 11:57:25.967 -0700,588
S_IQVIA_HDSC_FRMLRY_REIMBMNT_CATG,2024-12-25 13:58:27.864 -0800,0
S_IQVIA_HDSC_MTHLY_AC_TYP_CORP_OWNNM_PRMTRNM_PCMDTYAK13_CHNL_SPCL_PROM_DETL,2024-12-25 13:58:27.869 -0800,0
S_IQVIA_HDSC_MTHLY_BNDRYAK2_MKT_GRPAK5_PRODAK5_SUM,2024-12-28 18:08:57.012 -0800,0
S_IQVIA_HDSC_MTHLY_BNDRYAK2_PCMDTY_SPCLAK2_GENDER_AGE_GRP_RX_CATG_SUM,2025-06-02 09:26:15.238 -0700,0
