TABLE_NAME,LAST_ALTERED,ROW_COUNT
ADDRESS_SC,2024-12-18 04:49:16.149 -0800,0
ALL_ZIP_TO_TERR__US_SUGGESTION,2024-12-18 04:53:08.978 -0800,0
BAYER_MCM_BENCHMARK_REPORT__POST,2024-12-18 05:08:08.780 -0800,16493
BV_DIM_JOURNEY_ACTIVITY,2024-12-18 05:23:18.416 -0800,408909224
BV_PART_TIME_EMPLOYEES_PMA__SHEET1,2024-12-18 05:21:16.193 -0800,22
CERTIFICATION_REPORT_QUESTION_MAPPING__QUESTION_MAPPING,2024-12-20 15:49:15.570 -0800,54
DIM_ACCOUNT,2025-11-11 20:11:31.078 -0800,579095438
DIM_CHANNEL,2025-11-11 18:30:11.107 -0800,43
DIM_DATE,2024-12-27 11:48:57.962 -0800,56847
BRIEF_DOC_CUSTOMER,2024-12-18 04:53:09.160 -0800,0
BRIEF_DOC_JOURNEY,2024-12-18 05:21:08.196 -0800,115930
DIM_ACCOUNT_PLAN,2025-11-11 18:34:32.462 -0800,51301
DIM_DS,2025-11-11 21:53:05.135 -0800,609
DIM_EWIZARD_KEYMSGTRACKING,2025-11-11 19:23:53.056 -0800,1813
DIM_MEETING_REQUEST_CUSTOM_FIELD_DETAIL,2025-11-11 12:09:06.350 -0800,301853
DIM_PCMDTY,2025-11-11 21:57:11.089 -0800,24119330
DIM_PERSONAL_CHANNEL,2025-11-11 20:32:27.567 -0800,173576
DIM_PRFT_CNTR,2025-11-11 15:16:37.422 -0800,2193
DIM_PROD,2025-11-11 21:56:11.494 -0800,2621178
DIM_PUR_REQ,2025-02-05 04:50:45.869 -0800,7915592
DIM_SALE_ORG,2025-11-11 15:27:22.482 -0800,2077
DIM_SURVEY,2025-11-11 20:15:05.355 -0800,29423
DIM_VAULT_REGION,2025-11-11 18:39:07.215 -0800,7
DIM_VAULT_USERS,2025-11-11 18:39:01.529 -0800,345523
DIM_WEB_GEO_LOC,2025-01-12 14:13:01.646 -0800,1118449
FACT_CAMPAIGN_TARGET,2025-11-11 20:19:02.056 -0800,5921
FACT_CNTRCT_BILL_PLAN,2025-11-11 08:27:18.990 -0800,4445069
FACT_MAT_PRODAK9_DIAG_AGE_GRP_MEAS_SUM,2025-11-11 10:21:33.917 -0800,39318495
FACT_MTHLY_AC_CATG_PCMDTY_CHNL_SUM,2025-11-10 14:30:51.335 -0800,762577
FACT_MTHLY_BNDRYAK2_OACAK3_PRODAK11_SUM,2025-11-11 10:23:32.219 -0800,72304
FACT_MTHLY_BNDRYAK2_ORGAK2_PRODAK11_COMPTR_ACTL_VAL_IND_SUM,2025-11-11 10:22:45.781 -0800,47381
FACT_MTHLY_BNDRY_AC_TYP_PRMTR_DISTR_MKT_SUM_CATG_PCMDTY_SUM,2024-12-20 14:47:05.845 -0800,0
FACT_SALES_HDSC_TERRITORY_PL,2025-11-11 18:35:28.422 -0800,871940
DIM_INTR_CUST,2025-11-11 15:19:16.367 -0800,2270288
DIM_ITEM,2025-11-11 15:16:26.757 -0800,28529
DIM_MD_DS_CRNCY_CONVN,2025-11-11 15:53:57.098 -0800,149481867
DIM_MEDICAL_INQUIRY,2025-11-11 21:41:11.665 -0800,46647
DIM_ORG,2025-11-11 21:54:34.961 -0800,307271
DIM_TERRITORY,2025-11-11 19:22:56.618 -0800,210247
FACT_AC_GENDER_NM_AGE_GRP_BAND_PAT_CNT,2025-11-11 06:32:38.831 -0800,128118
FACT_DAILY_WHSLR_CUST_PROD_SECDY_SALE_SUM_NZ,2024-12-29 23:48:07.997 -0800,0
FACT_EVENT_BUDGET,2025-11-11 18:32:19.801 -0800,43393
FACT_FULL_TIME_EMPLOYEE,2024-12-18 04:27:09.344 -0800,22628
