TABLE_NAME,LAST_ALTERED,ROW_COUNT
BLINKRX_DISPENSE,2024-12-26 09:43:05.529 -0800,0
BLINKRX_STATUS,2024-12-26 09:43:05.529 -0800,0
BV_ADHOC_GBR_EMAIL_TEMPLATE_REPORT,2024-12-24 15:21:05.550 -0800,0
BV_ADHOC_ORION_CALLS,2024-12-18 05:08:08.914 -0800,28
BV_ADHOC_REFERENCEFILES_COUNTRY_BRAND_MAPPING,2025-05-23 01:42:24.345 -0700,484317
BV_ADHOC_TRADEMARK_TRADEMARK_EXPORT_EFILIA,2025-05-07 22:07:27.243 -0700,234014
BV_ANALYTICS_DE_AKTIVITÄTSZIELE_FREIGABE__TABELLE1,2024-12-29 23:51:18.041 -0800,24
BV_ANALYTICS_FR_EFAMILLES,2025-03-26 03:49:35.454 -0700,17760
BV_ANALYTICS_FR_EOFFRES6,2025-03-26 03:49:46.727 -0700,937002
BV_ANALYTICS_GB_SECDY_SALE_GB__SECDY_SALE_GB,2024-12-30 09:06:05.594 -0800,2
BV_ANALYTICS_GB_WLS_ADDRESS_SC,2025-11-04 04:07:51.120 -0800,56031
BV_CVENT_EVENT,2025-11-11 11:49:19.190 -0800,611983
BV_GERS_GER_SAL_NAT_OFFICINE_QUANTI_QUANTI_FR,2025-10-20 15:35:22.783 -0700,69831558
BV_ADHOC_PMR_DIM_SURVEY,2024-12-19 10:23:45.510 -0800,19
BV_ADHOC_UKLOCAL_UK_BRAND_PROTECTION,2024-12-30 11:16:08.304 -0800,14415
BV_ANALYTICS_DE_EXTERNAL_DEALER_SALES_DISPOSABLES_GERMANY__LOAD_DATA,2025-06-12 01:54:03.689 -0700,277516
BV_ANALYTICS_FR_EOFFRES5,2025-11-10 23:49:31.620 -0800,1427326
BV_ANALYTICS_GB_ENG_EPD,2025-11-03 07:06:40.918 -0800,1450336310
BV_ANALYTICS_GB_SCT_SCOTLAND_HEALTH_BOARD,2024-12-18 04:26:08.303 -0800,18
BV_ANALYTICS_NL_FARMINFORM_BAYER_ARTICLE,2024-12-22 07:10:47.985 -0800,1794159
BV_CVENT_CONTACT_CONTACTGROUPDETAIL,2025-11-11 11:49:45.838 -0800,2764176
BV_CVENT_EVENTQUESTION_ROWDETAIL,2025-11-11 11:48:10.354 -0800,1279956
BV_CVENT_INVITEE_INTERNALINFODETAIL,2025-11-11 11:48:40.153 -0800,2507205
BV_CVENT_TRAVEL,2025-11-11 11:49:22.648 -0800,180533
BV_DATAONE_SERVICE_H2R_CV_AMSM_AMSMPSORA_011_SNAPSHOT,2025-11-11 07:48:08.905 -0800,4221714
BV_DMAC_VRECORD_TYPE_PLANNED,2024-12-24 11:27:05.534 -0800,0
BV_GERS_GER_ORIGIN_SF_FR,2025-11-07 13:29:34.355 -0800,21934573
BV_GERS_GER_STATHOP_MKT_COMPOSN_FR,2025-03-10 19:11:10.388 -0700,4701
BV_MONTBLANC_PRODUCT__V,2025-08-26 17:20:07.844 -0700,48368
BV_REFERENCE_IT_AE_NL_IT__APPROVED_EMAIL_NL,2024-12-18 04:27:06.819 -0800,1424
BV_CVENT_EVENTDETAIL_FEES,2025-10-22 12:58:42.153 -0700,98870
BV_CVENT_EVENT_WEBLINKDETAIL,2025-11-11 11:49:35.153 -0800,2345414
BV_CVENT_INVITEE_WEBLINKDETAIL,2025-11-11 11:57:21.819 -0800,413762360
BV_CVENT_REGISTRATION_GUESTDETAIL,2025-10-28 12:48:57.059 -0700,411400
BV_DATAONE_SERVICE_H2R_CV_AMSM_AMSMPSORA_012,2025-11-11 07:52:15.345 -0800,695677844
BV_GERS_GER_ORIGINS_MENS_OFF_FR,2025-10-22 16:01:49.550 -0700,5886427
BV_GERS_GER_ORIGIN_XARELTO_FR,2025-03-10 19:11:07.991 -0700,33354891
BV_GERS_GER_SAL_NAT_DOMTOM_QUANTI_LABORATOIRE_FR,2025-10-22 16:01:51.461 -0700,18362
BV_GERS_GER_SAL_NAT_HOSPITAL_QUANTI_INDICATEUR_BIOSIMILAIRE_BIORÉFÉRENT_FR,2025-10-21 15:39:38.362 -0700,45
BV_GERS_GER_SAL_NAT_MIXT_QUANTI_CLASSIFICATION_ATC_FR,2025-10-21 15:40:34.638 -0700,2621825
BV_GERS_GER_SAL_NAT_MIXT_QUANTI_CLASSIFICATION_EPHMRA_FR,2025-10-21 15:40:16.624 -0700,2632345
BV_GERS_GER_SAL_NAT_MIXT_QUANTI_GROUPE_LABORATOIRE_FR,2025-10-21 15:39:49.158 -0700,21723
BV_GERS_GER_SAL_NAT_OFFICINE_QUANTI_GROUPE_BIOSIMILAIRE_FR,2025-10-20 15:33:52.192 -0700,378
BV_GERS_GER_SAL_NAT_OFFICINE_QUANTI_GROUPE_GÉNÉRIQUE_FR,2025-10-20 15:33:44.288 -0700,126145
BV_GERS_GER_SAL_NAT_OFFICINE_QUANTI_PRÉSENTATION_FR,2025-10-20 15:33:33.387 -0700,1559257
BV_GERS_GER_SAL_NAT_OFFICINE_QUANTI_QUALI_COMPLÉMENT_FR,2025-10-20 15:34:52.845 -0700,338741
BV_GMDA_POPULATION_GLB,2025-09-16 10:10:55.050 -0700,592453
BV_GMDA_QUARTERLY,2025-10-09 09:04:43.432 -0700,32478960
BV_GUMS_USERS_PARTNER,2025-11-11 12:14:47.606 -0800,23490209
BV_PRODUCT_MDM_OUTBOUND_MDM_MEDICINAL_PRODUCT_ALTERNATE_NAME,2025-05-05 10:41:05.263 -0700,0
BV_REFERENCE_DE_MAP_GEO_HIERARCHY_RAD_DE__DE,2024-12-19 12:41:37.970 -0800,0
BV_REFERENCE_ES_2_SALES_OBJECTIVE__MAPEO,2024-12-18 05:23:16.801 -0800,6
BV_REFERENCE_FR_CERTIFICATION_REPORT_QUESTION_MAPPING__QUESTION_MAPPING,2024-12-20 15:49:08.023 -0800,84
BV_REFERENCE_PL_TERRITORY_STRUCTURE_MK_V2__RADI,2024-12-18 04:57:15.991 -0800,1312
BV_REFERENCE_RU_MAP_PROD_LN_LIFE_CYCL_MOD_RAD_RU__RU,2024-12-18 04:57:08.723 -0800,27
BV_REFERENCE_RU_MDS_PRODUCT,2025-11-11 10:23:34.588 -0800,2349396
