Vendor,Source,Product Name,Enrich Layer,Modelled layer,Analytics Layer,Enrich surrogate
IQVIA,IQVIA,Master Reference Data,AC_CATG,S_IQVIA_HDSC_AC_CATG,REF_AC_CATG,BV_IQVIA_AC_CATG
IQVIA,IQVIA,Customer,AC_TYP,S_IQVIA_HDSC_AC_TYP,REF_AC_TYP,BV_IQVIA_AC_TYP
IQVIA,IQVIA,Product,ATC,S_IQVIA_HDSC_ATC,DIM_ATC,BV_IQVIA_ATC
IQVIA,IQVIA,Territory & Alignment,BNDRY,S_IQVIA_HDSC_BNDRY,DIM_BNDRY,BV_IQVIA_BNDRY
IQVIA,IQVIA,Master Reference Data,DS,S_IQVIA_HDSC_DS,DIM_DS,BV_IQVIA_DS
IQVIA,IQVIA,Master Reference Data,DS_ASSC,S_IQVIA_HDSC_DS_ASSC,DIM_DS_ASSC,BV_IQVIA_DS_ASSC
IQVIA,IQVIA,Master Reference Data,DS_CLAS_ASSC,S_IQVIA_HDSC_DS_CLAS_ASSC,MAP_DS_CLAS_ASSC,BV_IQVIA_DS_CLAS_ASSC
IQVIA,IQVIA,Master Reference Data,DS_PUBL_LOG,S_IQVIA_HDSC_DS_PUBL_LOG,MAP_DS_PUBL_LOG,BV_IQVIA_DS_PUBL_LOG
IQVIA,IQVIA,Product,NFC_CLAS,S_IQVIA_HDSC_NFC_CLAS,DIM_NFC_CLAS,BV_IQVIA_NFC_CLAS
IQVIA,IQVIA,Customer,ORG,S_IQVIA_HDSC_ORG,DIM_ORG,BV_IQVIA_ORG
IQVIA,IQVIA,Customer,ORG_STRC,S_IQVIA_HDSC_ORG_STRC,MAP_ORG_STRC,BV_IQVIA_ORG_STRC
IQVIA,IQVIA,Product,PCMDTY,S_IQVIA_HDSC_PCMDTY,DIM_PCMDTY,BV_IQVIA_PCMDTY
IQVIA,IQVIA,Product,PROD,S_IQVIA_HDSC_PROD,DIM_PROD,BV_IQVIA_PROD
IQVIA,IQVIA,Master Reference Data,TM_PD,S_IQVIA_HDSC_TM_PD,DIM_TM_PD,BV_IQVIA_TM_PD
IQVIA,IQVIA,Sell-In,TM_PD_ATC_SUM,S_IQVIA_HDSC_TM_PD_ATC_SUM,FACT_TM_PD_ATC_SUM,BV_IQVIA_TM_PD_ATC_SUM
IQVIA,IQVIA,Sell-In,TM_PD_BNDRY_AC_CATGAK2_AC_TYPAK2_PCMDTY_SUM,S_IQVIA_HDSC_TM_PD_BNDRY_AC_CATGAK2_AC_TYPAK2_PCMDTY_SUM,FACT_TM_PD_BNDRY_AC_CATGAK2_AC_TYPAK2_PCMDTY_SUM,BV_IQVIA_TM_PD_BNDRY_AC_CATGAK2_AC_TYPAK2_PCMDTY_SUM
IQVIA,IQVIA,Sell-In,TM_PD_ORGAK6_SUM,S_IQVIA_HDSC_TM_PD_ORGAK6_SUM,FACT_TM_PD_ORGAK6_SUM,BV_IQVIA_TM_PD_ORGAK6_SUM
IQVIA,IQVIA,Sell-In,TM_PD_PCMDTY_SUM,S_IQVIA_HDSC_TM_PD_PCMDTY_SUM,FACT_TM_PD_PCMDTY_SUM,BV_IQVIA_TM_PD_PCMDTY_SUM
IQVIA,IQVIA,Sell-In,TM_PD_PRODAK16_SUM,S_IQVIA_HDSC_TM_PD_PRODAK16_SUM,FACT_TM_PD_PRODAK16_SUM,BV_IQVIA_TM_PD_PRODAK16_SUM
IQVIA,IQVIA,Product,ATC,S_IQVIA_HDSC_ATC,DIM_ATC,BV_IQVIA_ATC
IQVIA,IQVIA,Master Reference Data,CHNL,S_IQVIA_HDSC_CHNL,DIM_CHNL,BV_IQVIA_CHNL
IQVIA,IQVIA,Master Reference Data,DS,S_IQVIA_HDSC_DS,DIM_DS,BV_IQVIA_DS
IQVIA,IQVIA,Master Reference Data,DS_ASSC,S_IQVIA_HDSC_DS_ASSC,DIM_DS_ASSC,BV_IQVIA_DS_ASSC
IQVIA,IQVIA,Master Reference Data,DS_CLAS_ASSC,S_IQVIA_HDSC_DS_CLAS_ASSC,MAP_DS_CLAS_ASSC,BV_IQVIA_DS_CLAS_ASSC
