TABLE_NAME,EMEA,EMEA_LAST_ALTERED,EMEA_ROW_COUNT,AMERICA,AMERICA_LAST_ALTERED,AMERICA_ROW_COUNT,APAC,APAC_LAST_ALTERED,APAC_ROW_COUNT,EMEA_AMERICA_APAC
BLINKRX_DAILY,True,2024-12-26 09:42:57.990 -0800,0,True,2024-12-26 09:42:57.990 -0800,0,True,2024-12-26 09:42:57.990 -0800,0,True
BLINKRX_DISPENSE,True,2024-12-26 09:43:05.529 -0800,0,True,2024-12-26 09:43:05.529 -0800,0,True,2024-12-26 09:43:05.529 -0800,0,True
BLINKRX_STATUS,True,2024-12-26 09:43:05.529 -0800,0,True,2024-12-26 09:43:05.529 -0800,0,True,2024-12-26 09:43:05.529 -0800,0,True
BV_ADHOC_BYOM,True,2025-11-07 00:34:59.350 -0800,424,True,2025-11-07 00:34:59.350 -0800,424,True,2025-11-07 00:34:59.350 -0800,424,True
BV_ADHOC_DISMISSALMAPPING_DISMISSAL_MAPPING_PARENT_CHILD,True,2024-12-25 03:15:05.633 -0800,1657,True,2024-12-25 03:15:05.633 -0800,1657,True,2024-12-25 03:15:05.633 -0800,1657,True
BV_ADHOC_GBR_CONTENT_LOCALIZATION,True,2024-12-24 15:21:07.983 -0800,0,True,2024-12-24 15:21:07.983 -0800,0,True,2024-12-24 15:21:07.983 -0800,0,True
BV_ADHOC_GBR_CONTENT_USED_IN_ACTIVATION_CALLS,True,2024-12-24 15:21:05.558 -0800,0,True,2024-12-24 15:21:05.558 -0800,0,True,2024-12-24 15:21:05.558 -0800,0,True
BV_ADHOC_GBR_CONTENT_USED_IN_ACTIVATION_EMAILS,True,2024-12-24 15:21:07.983 -0800,0,True,2024-12-24 15:21:07.983 -0800,0,True,2024-12-24 15:21:07.983 -0800,0,True
BV_ADHOC_GBR_EMAIL_TEMPLATE_REPORT,True,2024-12-24 15:21:05.550 -0800,0,True,2024-12-24 15:21:05.550 -0800,0,True,2024-12-24 15:21:05.550 -0800,0,True
BV_ADHOC_GBR_MARKET_CLUSTER_MAPPING,True,2024-12-24 15:21:07.984 -0800,0,True,2024-12-24 15:21:07.984 -0800,0,True,2024-12-24 15:21:07.984 -0800,0,True
